xmltv_id,display_name,groups
KBEV.us@SD,KBEV,Education
KBRI8.us@SD,KBRI-8,Legislative
KBSV231.us@SD,KBSV 23.1,General;Religious
KCAT.us@SD,KCAT,Education
KContentbyCJENM.us@SD,K-Content by CJ ENM,Entertainment
KentuckyEducationalTelevision.us@WKMJTV,Kentucky Educational Television WKMJ-TV,Undefined
KentuckyEducationalTelevision.us@WKPCTV,Kentucky Educational Television WKPC-TV,Undefined
KernCountyTV.us@SD,Kern County TV,Legislative
KetchupTV.us@SD,Ketchup TV,Kids
KevinHartsLOLNetwork.us@SD,Kevin Hart's LOL! Network,Comedy
KFONTV.us@SD,KFON TV,General
KidOO.us@SD,KidOO,Animation;Kids
KidsFlix.us@SD,KidsFlix,Kids;Movies
KidsMovieClub.us@SD,Kids Movie Club,Kids;Movies
KIIOLD101.us@HD,KIIO-LD 10.1,Culture
KIIOLD104.us@SD,KIIO-LD 10.4,Culture
KMCTTV391.us@HD,KMCT-TV 39.1,Entertainment
KNino.us@SD,KNino,Entertainment
KNOVCD411.us@HD,KNOV-CD 41.1,Travel
KNXVTV611.us@HD,KNXV-TV 61.1,General
KOCTChannel18.us@SD,KOCT Channel 18,General
KOCTChannel19.us@SD,KOCT Channel 19,Education
KPVMLD251.us@HD,KPVM-LD 25.1,General
KRGVTV52.us@HD,KRGV-TV 5.2,Entertainment
KSCE381.us@HD,KSCE 38.1,Religious
KSCE383.us@HD,KSCE 38.3,Religious
KTOO360TV.us@KTOOTV,KTOO 360TV KTOO-TV,Undefined
KVTNDT251.us@HD,KVTN-DT 25.1,Religious
LA36.us@SD,LA36,Education
LACityView35.us@SD,LA CityView 35,Legislative
LacrosseTV.us@SD,Lacrosse TV,Sports
Laff.us@WJLP,Laff WJLP,Comedy
LakeFrontTV.us@SD,LakeFront TV,Legislative
LakeHavasuCity4.us@SD,Lake Havasu City 4,Legislative
LakewoodChannel8.us@SD,Lakewood Channel 8,Undefined
