xmltv_id,display_name,category,source_id,source_display_name,match_method,programme_count
TheAmazingRace.us@SD,The Amazing Race,fast,TheAmazingRace.pluto,PLUTO - The Amazing Race,normalized-base-id,21
TheAndyGriffithShow.us@SD,The Andy Griffith Show,fast,TheAndyGriffithShow.pluto,PLUTO - The Andy Griffith Show,normalized-base-id,39
TheArchive.us@SD,The Archive,local,TheArchive.us,The Archive,base-id,45
TheBobRossChannel.us@SD,The Bob Ross Channel,fast,TheBobRossChannel.us,The Bob Ross Channel,base-id,145
TheChallenge.us@SD,The Challenge,fast,TheChallenge.us,The Challenge,base-id,121
TheCountryNetwork.us@SD,The Country Network,local,TheCountryNetwork.us,The Country Network,base-id,85
TheDesignNetwork.us@SD,The Design Network,fast,TheDesignNetwork.us,The Design Network,base-id,161
TheFilmDetective.us@SD,The Film Detective,local,TheFilmDetective.us,The Film Detective,base-id,125
TheJamieOliverChannel.us@SD,The Jamie Oliver Channel,fast,TheJamieOliverChannel.pluto,PLUTO - The Jamie Oliver Channel,normalized-base-id,36
TheJudgeJudyChannel.us@SD,The Judge Judy Channel,fast,TheJudgeJudyChannel.pluto,PLUTO - The Judge Judy Channel,normalized-base-id,39
